Nr,Date,G1,SP1,SP2U,SP3,SP4,SP5,INV1,INV2,INV3U,INV4,REAL1U,REAL2,REAL3,REAL4
1,2025-02-14 10:40:24,5,5,3,5,5,5,5,5,1,5,3,5,5,3
2,2025-02-14 11:15:07,5,5,3,5,4,4,1,1,4,3,3,5,4,2
3,2025-02-21 10:41:28,5,5,4,4,5,5,4,4,3,5,5,4,4,3
4,2025-02-21 10:52:24,4,5,3,5,3,4,5,5,2,4,4,4,4,3
5,2025-02-21 11:43:42,5,5,1,5,1,2,2,5,1,5,1,4,1,2
6,2025-02-28 11:29:21,3,4,2,3,4,4,5,1,2,4,3,2,2,1
7,2025-02-28 11:36:13,4,4,2,1,3,3,5,5,1,5,4,4,4,1
8,2025-03-14 11:21:33,5,5,1,5,3,5,4,2,1,5,4,4,4,3
9,2025-03-14 11:42:10,5,5,1,5,5,5,3,4,1,5,1,1,3,1
10,2025-03-20 11:26:05,3,3,4,4,3,4,4,3,3,3,3,2,3,1
11,2025-03-20 11:47:12,3,3,3,5,4,5,3,4,2,4,4,5,3,1
12,2025-03-20 12:13:17,5,5,1,5,1,1,1,1,3,3,1,3,4,4
13,2025-03-20 12:27:41,3,2,4,1,3,3,5,1,3,2,3,2,3,1
14,2025-03-21 09:22:04,5,5,4,5,5,5,1,5,5,5,1,5,1,5
15,2025-03-21 09:56:44,5,5,5,5,5,5,3,3,3,4,1,3,4,3
16,2025-03-21 10:06:19,3,4,2,1,3,4,4,4,3,4,3,3,2,1
17,2025-03-21 10:52:09,5,5,5,5,5,5,5,5,5,5,1,5,5,5
18,2025-03-21 11:09:27,4,5,1,5,4,5,4,5,5,5,5,5,5,4
19,2025-03-21 11:22:41,5,5,3,1,5,5,4,1,5,5,1,5,3,2
20,2025-03-28 09:28:37,5,5,5,5,5,5,1,5,5,5,1,5,5,4
21,2025-03-28 09:47:42,5,5,4,4,4,3,1,4,5,5,2,5,4,3
22,2025-03-28 10:13:41,3,5,3,4,3,4,4,2,3,3,3,1,3,1
23,2025-03-28 10:22:31,2,2,3,3,2,4,3,3,4,3,3,3,3,2
24,2025-03-28 10:45:51,5,5,5,3,3,3,5,3,5,3,3,4,3,3
25,2025-03-28 11:22:14,4,4,1,5,3,4,2,3,2,3,3,4,3,3
26,2025-03-28 11:36:22,4,5,3,3,2,3,3,5,1,5,4,5,4,2
27,2025-04-04 09:43:42,2,2,3,3,3,3,2,2,4,2,3,4,2,1
28,2025-04-04 09:48:33,1,1,1,1,1,1,1,1,5,5,5,1,1,1
29,2025-04-04 10:40:08,4,5,3,3,5,5,4,2,5,5,4,5,3,3
30,2025-04-04 10:54:30,4,4,3,4,5,5,5,5,5,5,4,4,4,3
31,2025-04-04 11:29:55,2,3,3,1,1,2,2,5,5,1,1,1,1,1
32,2025-04-04 11:58:46,4,3,3,4,2,3,4,2,4,2,2,4,4,3
33,2025-04-11 09:29:17,4,5,5,5,4,5,4,3,3,4,1,2,2,1
34,2025-04-11 09:58:41,5,5,3,1,3,3,3,1,3,3,3,1,3,1
35,2025-04-11 10:18:33,3,3,2,3,3,4,4,2,3,3,4,2,2,1
36,2025-04-11 10:56:52,4,4,1,1,5,4,4,2,2,4,2,4,4,3
37,2025-04-11 11:45:42,4,4,5,3,3,4,5,1,4,2,3,4,2,1
38,2025-04-11 11:57:44,3,3,3,3,4,4,3,2,4,2,2,3,3,2
39,2025-04-18 10:44:31,3,3,4,4,5,5,2,2,3,3,2,2,3,1
40,2025-04-18 11:09:41,4,4,4,5,5,5,3,4,4,4,4,4,5,3
41,2025-04-18 11:25:32,4,4,4,2,3,4,2,2,3,4,3,4,3,3
42,2025-04-25 09:24:15,5,5,2,2,2,3,3,1,4,4,4,4,4,1
43,2025-04-25 09:54:34,5,5,5,5,5,5,1,1,1,5,4,4,1,3
44,2025-04-25 10:15:58,2,1,3,3,3,3,3,5,3,3,3,3,3,3
45,2025-04-25 10:55:53,5,5,5,5,5,5,5,5,5,5,3,5,2,1
46,2025-04-25 11:19:43,4,4,1,2,4,4,4,3,3,4,2,1,3,1
47,2025-04-25 11:32:06,3,5,3,2,4,3,2,2,4,3,3,1,1,1
